id,NAME,neighbourhood group,neighbourhood,lat,long,price,review rate number,number of reviews,occupancy_proxy,estimated_revenue,potential_gain_at_70pct
19516089,Luxurious Harlem 1 Bdrm Steps from Subway,Manhattan,Harlem,40.81581,-73.94142,945.0,5.0,22.0,0.28493150684931506,98280.00000000001,143167.5
29350343,🪴🛋🌞 Unique sunny clean brownstone studio 1st floor,Brooklyn,Bedford-Stuyvesant,40.68926,-73.93107,583.0,5.0,5.0,0.0273972602739726,5830.0,143126.5
6553056,"Brooklyn Apt Near Park, Franklin Av",Brooklyn,Crown Heights,40.67317,-73.95419,815.0,5.0,1.0,0.2191780821917808,65199.99999999999,143032.5
26879353,Cozy super affordable room,Brooklyn,Bedford-Stuyvesant,40.67813,-73.92904,580.0,5.0,1.0,0.024657534246575342,5220.0,142970.0
40154988,JFK Jupiter Suites w/ Parking,Queens,St. Albans,40.6891,-73.7733,573.0,5.0,190.0,0.01643835616438356,3437.9999999999995,142963.5
5579351,!!BEAUTIFUL APARTMENT WITH GARDEN!!,Manhattan,Marble Hill,40.87494,-73.91057,843.0,5.0,2.0,0.2356164383561644,72498.0,142888.49999999997
41751687,Designer's Beautiful 2BR Apartment in NOLITA/SOHO,Manhattan,Nolita,40.72233,-73.99574,1120.0,5.0,69.0,0.3506849315068493,143360.0,142800.0
52783879,Designer's Beautiful 2BR Apartment in NOLITA/SOHO,Manhattan,Nolita,40.72233,-73.99574,1120.0,5.0,69.0,0.3506849315068493,143360.0,142800.0
18025984,Designer's Beautiful 2BR Apartment in NOLITA/SOHO,Manhattan,Nolita,40.72233,-73.99574,1120.0,5.0,69.0,0.3506849315068493,143360.0,142800.0
53645467,Royal suite,Brooklyn,Canarsie,40.63202,-73.90916,574.0,5.0,16.0,0.019178082191780823,4018.0000000000005,142638.99999999997
18887572,Royal suite,Brooklyn,Canarsie,40.63202,-73.90916,574.0,5.0,16.0,0.019178082191780823,4018.0000000000005,142638.99999999997
35770830,New UPW 2 bedroom apt in luxury doorman building,Manhattan,Upper West Side,40.79514,-73.96738,923.0,5.0,1.0,0.27671232876712326,93223.0,142603.49999999997
23374457,"Go to NYC? Stay with us. Cozy, Clean &Close all",Queens,Elmhurst,40.73998,-73.86802,1127.0,5.0,12.0,0.35342465753424657,145383.0,142565.5
28749440,Chris' Cozy Cave!,Queens,Ditmars Steinway,40.77909,-73.909,764.0,5.0,137.0,0.18904109589041096,52716.0,142485.99999999997
9278104,Sunny living room and great location in Brooklyn,Brooklyn,Flatbush,40.63549,-73.95817,629.0,5.0,27.0,0.07945205479452055,18241.0,142468.49999999997
47840794,Sunny living room and great location in Brooklyn,Brooklyn,Flatbush,40.63549,-73.95817,629.0,5.0,27.0,0.07945205479452055,18241.0,142468.49999999997
6803800,Private Garden View in Brownstone Near Subway,Brooklyn,Bedford-Stuyvesant,40.69022,-73.93077,1006.0,5.0,291.0,0.31232876712328766,114684.0,142348.99999999997
21992602,Luxury Living Condo 2 bdr,Brooklyn,Sheepshead Bay,40.58496,-73.95739,568.0,5.0,4.0,0.0136986301369863,2839.9999999999995,142284.0
22326191,"Affordable Room close to train, mall. With WIFI.",Queens,Elmhurst,40.74439,-73.87988,870.0,5.0,1.0,0.25205479452054796,80040.00000000001,142245.0
30783561,✨COZY MODERN STUDIO near JFK airport,Queens,Laurelton,40.68265,-73.74831,1132.0,5.0,49.0,0.3561643835616438,147160.0,142066.0
31014423,Studio Sanctuary in Landmark Brownstone,Manhattan,Harlem,40.80643,-73.94931,983.0,5.0,20.0,0.3041095890410959,109113.00000000001,142043.49999999994
31757818,"Cozy n brand new  Privte Bath Bklyn near F,G train",Brooklyn,Kensington,40.64349,-73.98163,644.0,5.0,24.0,0.0958904109589041,22540.0,142001.99999999997
33198769,Lovely one bedroom apartment in Brooklyn bed stuy.,Brooklyn,Bedford-Stuyvesant,40.68921,-73.94423,608.0,5.0,16.0,0.06027397260273973,13376.0,141968.0
7455514,Studio Apartment in Brooklyn,Brooklyn,Park Slope,40.67036,-73.97776,989.0,5.0,1.0,0.30684931506849317,110768.00000000001,141921.49999999994
41090584,Upper Manhattan Luxury Town Home - Mins to Midtown,Manhattan,Harlem,40.80801,-73.9486,562.0,5.0,18.0,0.00821917808219178,1685.9999999999998,141905.0
33233012,Cozy two bedroom in L.E.S.,Manhattan,Lower East Side,40.71254,-73.98352,605.0,5.0,230.0,0.057534246575342465,12705.0,141872.5
48379287,Cozy and relaxing East Village home,Manhattan,East Village,40.7266,-73.97872,1087.0,5.0,3.0,0.3424657534246575,135875.0,141853.5
9816596,Cozy and relaxing East Village home,Manhattan,East Village,40.7266,-73.97872,1087.0,5.0,3.0,0.3424657534246575,135875.0,141853.5
